BolsistaPQ;SEXO;Tipo.Bolsa;GrandeArea;Subarea;Universidade;DescricaoUniversidade;NotaCapesTrab;AreaCapes;Regiao;CodigoRegiao;Internacionalizacao;Ano.Info.Antiga;Anos.Doc;Anos.Msc;TipoEmprego;CodigoEmprego;Napresentacoes;NTextos;Nlivros;NCapitulosLivros;NtotalArtigos;QualisCapes;QUALIS.SUPERIOR;PublicacoesMidiaticas;OrientacoesConcluidas;BancasDoutorado;BancasMestrado;BancasGraduação;BancasEspecialização;Eventos;CodigoUF;UF;Rec.Tipo.Bolsa
Adailton João Bortoluzzi;M;PQ-2;CIENCIAS_EXATAS_E_DA_TERRA;QUIMICA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;7;QUÍMICA;Sul;4;NA;1981;5;5;Professor de Universidade Pública;1;NA;1;NA;NA;33;33;22;0;3;2;1;0;0;0;42;SC;6
Adelar Fochezatto;M;PQ-2;NA;ECONOMIA;PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;NA;ECONOMIA;Sul;4;NA;1982;NA;NA;Professor de Universidade Privada ou TS;2;NA;29;1;5;18;17;NA;0;20;10;10;14;0;0;43;NA;6
Adelia Maria Miglievich Ribeiro;F;PQ-2;CIENCIAS_HUMANAS;SERVICO SOCIAL;UFES;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;5;SERVIÇO SOCIAL;Sudeste;3;NA;1987;5;2;Professor de Universidade Pública;1;40;12;11;0;16;2;1;0;23;12;10;2;0;40;32;ES;6
Ademar Dutra;M;PQ-2;CIENCIAS_SOCIAIS_APLICADAS;ADMINISTRACAO;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;5;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;Sul;4;NA;1983;5;2;Professor de Universidade Pública;1;NA;44;0;1;33;0;0;NA;0;NA;NA;NA;NA;NA;42;SC;6
Ademir José Zattera;M;PQ-1C;ENGENHARIAS;ENGENHARIA DE MATERIAIS E METALURGICA;UCS;UNIVERSIDADE DE CAXIAS DO SUL;4;ENGENHARIAS II;Sul;4;NA;1979;6;3;Professor de Universidade Privada ou TS;2;NA;64;NA;NA;52;49;38;0;32;7;4;7;0;0;43;RS;2
Adrian Martin Pohlit;M;PQ-2;CIENCIAS_EXATAS_E_DA_TERRA;QUIMICA;INPA;NA;NA;QUÍMICA;NA;NA;NA;1983;4;NA;NA;NA;9;5;NA;NA;7;4;2;0;29;14;9;0;0;33;NA;NA;6
Adriana Roseli Wunsch Takahashi;F;PQ-2;CIENCIAS_SOCIAIS_APLICADAS;ADMINISTRACAO;UFPR;UNIVERSIDADE FEDERAL DO PARANÁ;5;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;Sul;4;NA;1986;4;2;Professor de Universidade Pública;1;NA;7;2;6;20;0;0;NA;0;NA;NA;NA;NA;NA;41;PR;6
Adriana Scoton Antonio Chinelatto;F;PQ-2;ENGENHARIAS;ENGENHARIA DE MATERIAIS E METALURGICA;UEPG;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;4;ENGENHARIAS II;Sul;4;NA;1985;6;3;Professor de Universidade Pública;1;NA;35;NA;NA;8;8;8;0;35;4;5;4;0;0;41;PR;6
Adriane Vieira Ferrarini;F;PQ-2;CIENCIAS_SOCIAIS_APLICADAS;SOCIOLOGIA;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;4;SOCIOLOGIA;Sul;4;Bélgica;1986;4;2;Professor de Universidade Privada ou TS;2;40;6;4;0;10;10;8;2;12;9;11;0;0;41;43;RS;6
Adriano Jakelaitis;M;PQ-2;CIENCIAS_AGRARIAS;AGRONOMIA;IF GOIANO;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO;NA;CIÊNCIAS AGRÁRIAS I;Centro-Oeste;5;NA;1992;3;2;Professor de Universidade Pública;1;3;46;NA;NA;45;44;24;0;40;3;10;3;0;4;52;NA;6
Adriano Rodrigues Azzoni;M;PQ-2;ENGENHARIAS;ENGENHARIA QUIMICA;USP;UNIVERSIDADE DE SÃO PAULO;6;ENGENHARIAS II;Sudeste;3;NA;1990;4;2;Professor de Universidade Pública;1;NA;13;NA;NA;10;10;10;0;11;6;0;0;0;0;35;SP;6
Adriano Rolim da Paz;M;PQ-2;ENGENHARIAS;ENGENHARIA AMBIENTAL;UFPB;UNIVERSIDADE FEDERAL DA PARAÍBA;NA;ENGENHARIAS I;Nordeste;2;NA;1996;4;2;Professor de Universidade Pública;1;NA;8;1;0;9;9;8;0;59;3;10;15;0;0;25;NA;6
Adrião Duarte Dória Neto;M;PQ-2;ENGENHARIAS;ENGENHARIA ELETRICA E MICROELETRONICA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;5;ENGENHARIAS IV;Nordeste;2;NA;1975;4;2;Professor de Universidade Pública;1;4;12;1;0;10;10;7;0;16;19;10;4;0;4;24;RN;6
Afonso Mota Ramos;M;PQ-1D;CIENCIAS_AGRARIAS;CIENCIA E TECNOLOGIA DE ALIMENTOS;UFV;UNIVERSIDADE FEDERAL DE VIÇOSA;5;CIÊNCIA DE ALIMENTOS;Sudeste;3;NA;1976;4;3;Professor de Universidade Pública;1;NA;NA;1;0;30;24;20;0;16;7;4;0;0;0;31;MG;1
Afrânio Mendes Catani;M;PQ-1A;CIENCIAS_HUMANAS;EDUCACAO;USP;UNIVERSIDADE DE SÃO PAULO;5;EDUCAÇÃO;Sudeste;3;NA;1971;7;7;Professor de Universidade Pública;1;NA;NA;15;0;9;7;5;0;8;8;1;0;0;0;35;SP;4
Agueda Palmira Castagna de Vargas;F;PQ-2;CIENCIAS_AGRARIAS;MEDICINA VETERINARIA;UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;7;MEDICINA VETERINÁRIA;Sul;4;NA;1980;4;4;Professor de Universidade Pública;1;NA;4;2;0;41;40;35;0;23;3;0;0;1;0;43;RS;6
Alan Roger dos Santos Silva;M;PQ-2;CIENCIAS_DA_SAUDE;ODONTOLOGIA;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;NA;ODONTOLOGIA;Sudeste;3;NA;2000;2;2;Professor de Universidade Pública;1;4;16;2;0;85;83;66;0;15;10;10;0;0;7;35;NA;6
Alberício Pereira de Andrade;M;PQ-2;CIENCIAS_AGRARIAS;ZOOTECNIA;UFRPE;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;5;ZOOTECNIA / RECURSOS PESQUEIROS;Nordeste;2;Chile;1973;4;2;Professor de Universidade Pública;1;7;103;7;0;46;33;7;1;29;9;5;0;0;7;26;PE;6
